airport;airportname;city;state;latitude;longitude;altitude;operation
SBRJ;SANTOS DUMONT;RIO DE JANEIRO;RJ;22° 54' 36'' S;43° 9' 45'' W;3 m;VFR Diurno/Noturno e IFR Diurno/Noturno
SBRP;LEITE LOPES;RIBEIRÃO PRETO;SP;21° 8' 11'' S;47° 46' 36'' W;550 m;VFR Diurno/Noturno e IFR Diurno/Noturno
SBSG;GOVERNADOR ALUIZIO ALVES;SÃO GONÇALO DO AMARANTE;RN;5° 46' 8'' S;35° 21' 59'' W;83 m;VFR Diurno/Noturno e IFR Diurno/Noturno
SBSJ;PROFESSOR URBANO ERNESTO STUMPF;SÃO JOSÉ DOS CAMPOS;SP;23° 13' 44'' S;45° 52' 16'' W;646 m;VFR Diurno/Noturno e IFR Diurno/Noturno
SBSL;MARECHAL CUNHA MACHADO;SÃO LUÍS;MA;2° 35' 13'' S;44° 14' 10'' W;54 m;VFR Diurno/Noturno e IFR Diurno/Noturno
SBSM;SANTA MARIA;SANTA MARIA;RS;29° 42' 39'' S;53° 41' 32'' W;88 m;VFR Diurno/Noturno e IFR Diurno/Noturno
SBSN;MAESTRO WILSON FONSECA;SANTARÉM;PA;2° 25' 29'' S;54° 47' 9'' W;60 m;VFR Diurno/Noturno e IFR Diurno/Noturno
SBSP;CONGONHAS;SÃO PAULO;SP;23° 37' 34'' S;46° 39' 23'' W;802 m;VFR Diurno/Noturno e IFR Diurno/Noturno
SBSR;PROFESSOR ERIBERTO MANOEL REINO;SÃO JOSÉ DO RIO PRETO;SP;20° 48' 58'' S;49° 24' 17'' W;543 m;VFR Diurno/Noturno e IFR Diurno/Noturno
SBSV;DEPUTADO LUÍS EDUARDO MAGALHÃES;SALVADOR;BA;12° 54' 31'' S;38° 19' 21'' W;20 m;VFR Diurno/Noturno e IFR Diurno/Noturno
SBTB;TROMBETAS;ORIXIMINÁ;PA;1° 29' 4'' S;56° 23' 57'' W;87 m;VFR Diurno/Noturno e IFR Diurno/Noturno
SBTD;LUIZ DALCANALE FILHO;TOLEDO;PR;24° 41' 7'' S;53° 41' 48'' W;562 m;VFR Diurno/Noturno e IFR Diurno/Noturno
SBTE;SENADOR PETRÔNIO PORTELLA;TERESINA;PI;5° 3' 38'' S;42° 49' 28'' W;67 m;VFR Diurno/Noturno e IFR Diurno/Noturno
SBTF;TEFÉ;TEFÉ;AM;3° 22' 49'' S;64° 43' 31'' W;57 m;VFR Diurno/Noturno e IFR Diurno/Noturno
SBTG;TRÊS LAGOAS;TRÊS LAGOAS;MS;20° 45' 5'' S;51° 40' 49'' W;324 m;VFR Diurno/Noturno
SBTK;TARAUACÁ;TARAUACÁ;AC;8° 9' 17'' S;70° 46' 58'' W;197 m;VFR Diurno
SBTR;TORRES;TORRES;RS;29° 24' 36'' S;49° 48' 37'' W;8 m;VFR Diurno/Noturno e IFR Diurno/Noturno
SBTT;TABATINGA;TABATINGA;AM;4° 15' 2'' S;69° 56' 16'' W;85 m;VFR Diurno/Noturno e IFR Diurno/Noturno
SBTU;TUCURUÍ;TUCURUÍ;PA;3° 46' 37'' S;49° 43' 11'' W;253 m;VFR Diurno/Noturno e IFR Diurno/Noturno
SBUA;SÃO GABRIEL DA CACHOEIRA;SÃO GABRIEL DA CACHOEIRA;AM;0° 8' 53'' S;66° 59' 9'' W;76 m;VFR Diurno/Noturno e IFR Diurno/Noturno
SBUF;PAULO AFONSO;PAULO AFONSO;BA;9° 24' 4'' S;38° 15' 4'' W;269 m;VFR Diurno/Noturno
